LIC_Name,Project Lead_Name,Associate Manager_Name,state,district,schoolCode,Completed MAU?,Logged In?,Project Name
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1007,Yes,No,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1007,Yes,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1007,Yes,Yes,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1007,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1014,No,No,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1014,Yes,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1014,No,Yes,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1014,No,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1021,No,No,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1021,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1021,Yes,Yes,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1021,Yes,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1028,No,No,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1028,No,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1028,No,Yes,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1028,Yes,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1035,Yes,No,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1035,Yes,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1035,No,Yes,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1035,No,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1042,Yes,No,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1042,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1042,No,Yes,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1042,No,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1049,No,No,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1049,Yes,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1049,Yes,Yes,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1049,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1056,No,No,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1056,No,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1056,Yes,Yes,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1056,Yes,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1063,Yes,No,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1063,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1063,No,Yes,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1063,Yes,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1070,No,No,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1070,No,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1070,No,Yes,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1070,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1077,Yes,No,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1077,Yes,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1077,No,Yes,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1077,No,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1084,No,No,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1084,Yes,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1084,Yes,Yes,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1084,Yes,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1091,No,No,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1091,No,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1091,Yes,Yes,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1091,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1098,No,No,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1098,No,Yes,Adobe Clay 2026
LIC Alpha,Priya Nair,Anil Sharma,Rajasthan,Jaipur,SCH1098,No,Yes,Adobe Clay 2026
LIC Gamma,priya nair,Anil Sharma ,GUJARAT,Surat,SCH1098,Yes,Yes,Adobe Clay 2026
LIC Alpha,priya nair,Bhavna Rao,Maharashtra,Mumbai,SCH1105,Yes,No,Adobe Clay 2026
LIC Gamma,Rohit Verma,Anil Sharma,Rajasthan,Jaipur,SCH1105,No,Yes,Adobe Clay 2026
LIC Alpha,Rohit Verma,Anil Sharma ,GUJARAT,Ahmedabad,SCH1105,No,Yes,Adobe Clay 2026
LIC Gamma,Priya Nair,Bhavna Rao,maharashtra,Mumbai,SCH1105,No,Yes,Adobe Clay 2026
